review_text,rating,product_id,product_title,category
"I recently decided to do some memory card shopping for my Nintendo Gamecube, but I have yet to find a better memory card than what I already own. The original one Nintendo created really takes the cake over anything else. ALthough there are better ones from third-party companies at about a few dollars higher than Nintendo, it is definitely the original Memory Card 251 that really takes the cake, with 4x the memory storage than the original memory card Nintendo created when the Gamecube was released back in 2001. This has to be the one for all your memory storage, don't get substitutes by other companies. They don't work as well as Nintendo's memory power",4.0,B00012D0SG,Memory Shopping,Video Games
Got me interested in musou games.,4.0,B0001A86EG,Four Stars,Video Games
Excellent,5.0,B0017HIIWW,Five Stars,Video Games
"A word of warning: If you want to play titles for the original Xbox such as Halo 2, your system MUST have an official Xbox-branded hard drive. That's why their drive costs more, it contains a partition that allows the old games to be played. I found this out the hard way, and now I'm trying to find a solution that involved needing to get the transfer cable and hook the HDD up to my computer, partition it, put some software mods onto it so that it will be backwards compatible, blah blah blah.

If you don't want to play old games, it's great. fits right into the Slim and works very nicely.

UPDATE: If you get the proper transfer cable and download some software to your computer, you can hook this up to your computer and modify the drive by adding the partition to play original Xbox discs. I successfully got my system to play Halo 2, but it was kind of a pain and I had to go buy the USB-to-SATA cable. So if you like to ""hack"" stuff, save a few bucks and mod the drive yourself, there are YouTube videos on how to do it. If you're not good with computers, buy an official Xbox drive.",3.0,B014SIVGAW,Will NOT Play Old Xbox Games,Video Games
One of the best PC games I have ever played.,5.0,B001444IN6,Five Stars,Video Games
Awesome controller station!!!,4.0,B004IK24MU,Four Stars,Video Games
"El producto es de excelente calidad y me fue entregado segn las condiciones de venta, estoy satisfecho con el mismo, lo recomiendo ampliamente.",4.0,B0051873RE,Compra satisfactoria,Video Games
"Everyone seems to complain about these controllers being difficult to use, I can see that being true if a person is younger than 18. I am 21, and my hands perfectly fit it. Oddly enough, because it only fits in the hands of older people, it is very durable and heavy! So it cannot bend or break easily. As for the controller itself, it has six buttons, red, blue, yellow, green, black and white, along with two very unique triggers! Rather than an L + R button at the top of the controller which wear out easy, these triggers are spring loaded so they should last very long! There are two ports for additional memory cards, but with the X-Box having a huge memory you should never need a memory card. There are two analog sticks at the top let and bottom right of the controller for shooting games. It also has a normal directional pad at the bottom left for very accurate control. It comes with a rumble function and it works by a USB port, and for those of you that are not computer nerds, that means that plug it into the X-Box and its self powered, so you do not need batteries for the rumble function.",4.0,B00005O0I7,"No L + R buttons, made for adults, very durrable",Video Games
"First, I must admit that I've been along time fan of the Madden series and have alot of respect for it.  Madden 2004 is a great game, BUT is no where near ESPN Football.
This game is loaded and was very well thought out from the ground up.  The running game is fantastic, and I love how you can charge your player up for a super move.  It takes some pretty good timeing to get used to, however its fun and sometimes effective.  Should we even mention the passing?  It's awesome.  I love having the ability to check out the defensive formation, see who is going to have one on one coverage and try and exploit the weakness its awesome.  Oh, yeah and its also nice knowing that the computer on offense or defense is not going to auto adjust its-self to counter act what ever play you pick.  And lastly there is the defense end of things.  Gang tackling is a must and is very incouraged.  However the ability to read what the offense is doing or what you think they are doing, just adds so much realism.
Next, I would like to mention the presentation.  The graphics are almost perfect.  The cheerleaders actually shake there money makers.  And your fans go crazy, with face paint, signs, the whole 9 yards.  Not to mention the half time summary is truly amazing.  And then there are the instant replays WOW!!
Oh, my and then there is audio.  The crowd ambience, music playing on the pa, the players constantly punking each other out.  Some times calling the QB or HB by there first names.
This game is by far the best football game I have ever played.  We have weekly touranments in the dorm, and it doesnt matter if you are playing or not, people still come and watch.  This game is exciting, the graphics are outstanding, and the sound is out of this world.
Good game Sega sports.  GG.",5.0,B0000ACP8S,Wow.  Sega Sports scores big!!,Video Games
"If you like adventure games where you upgrade powers/weapons, etc. and like any type of disney characters, then this is for you!  I'm not a huge disney fan, but wow.. this game has it all:
1) Awesome gameplay - camera angles aren't bad, but the shoulder buttons help
2) Plot - one of my favorite plots (up there with Resident Evil 4) and music in the game is great
3) Difficulty - some of the puzzles take a little figuring out, but aren't ""God of War"" difficult (in my opinion).  Fighting enemies can seem daunting, but you can ""level up"" in other worlds

I did spend hundreds of hours playing this game (beating it several times) and it's one that I'd never get rid of, and would play through again... I can't wait for KH3 on PS3...",5.0,B000066TS5,In my top 3 fav games of all time,Video Games
Fantastic game. Original great call og duty with robots. Polished.,5.0,B01GKGVI8U,Five Stars,Video Games
"I thought my last headset was good (rage tactical), but this blows it out of the water. Has the leather feel that I like, fits comfortably around my ears and breathes so I don't have to keep removing them to exhaust heat. Mic makes me sound like I have a lisp on s's but not too bad. Audio is clear and has some bass to it if your audio card supports it. I'm happy with it.",5.0,B00JJNQG98,I thought my last headset was good (rage tactical),Video Games
"I really have no idea why this game is so compelling.  All you really do is drive a truck.  Sure, there are additional things to do like by garages, hire drivers, expand your fleet, etc, but this game is all about the driving.  And it does that really, really well.

For a game released in 2013, the graphics aren't really anything to write home about.  It looks like a PS3 game released in 2009.  It's not a bad thing, just a thing.  I assume this is because the developers are an independent studio without the resources of a developer with publisher backing.  Don't expect great textures, but again, you don't need them.

The driving is really, really fun.  I really don't know why.  You just drive.  Pick a job off the job board and drive.  All the jobs require you haul some specific product or resource from point A to point B.  You can gain extra XP by transporting fragile or explosive payloads.  You also have to drive carefully.  Failure to follow the rules of the road will result in penalties and/or fines.  You better turn your lights at night, signal when you turn and drive on the correct side of the road.  If you don't, you'll pay the price.

Honestly, it's not a game I can marathon because it's fairly repetitive; but I love sitting down for 30 minutes and completing 3-4 jobs, earning a little money and making sure my driving team is keeping busy.  I also think the menus could be a bit more friendly.  They can be tricky to navigate, in my opinion.

Yes, the game is playable on keyboard and XBox 360 controller, but I suspect a wheel is really the way to go.  I've not played with a wheel, but I'm doing just fine with a controller and some minor tweaking.

Kudos the developers for creating a compelling game.  It goes on sale fairly often, so pick it up and drive.",5.0,B006NU6F28,Strangely compelling.,Video Games
Excellent,5.0,B0028ZH7EC,Five Stars,Video Games
My children love this.,5.0,B00E20STC0,Five Stars,Video Games
Cute and fun to play!,5.0,B00F3I2UFC,Love this guy.,Video Games
"The moment my 3DS came in, I snapped this case on. They've been there for over a year now, and my 3DS is doing great. I've dropped it a few times but I haven't had a scuff mark on it so far. The hinge moves very smoothly; sometimes I forget I have the case on at all.
The only reason I'm putting 4/5 is because sometimes there are random moisture pockets that somehow get in between the 3DS surface and the case even though I don't get my 3DS wet. It is inconvenient to take off the case just to wipe a drop of water off.",4.0,B004SI66Z8,Nice,Video Games
Great price and product!,4.0,B00KWF38AW,Four Stars,Video Games
jeep thrills is so fun you get to choose which jeep you want to race with and it is really fun,5.0,B000WWNRI8,i love jeeps,Video Games
"kids don't like at all, told it's too boring after few days",1.0,B00R9NWTQO,One Star,Video Games
Bought for Christmas present.,5.0,B018V3ISJ2,Five Stars,Video Games
"How many times are they going to update the graphics and then sell Civ as a new game.  Granted, there were some minor changes, and the civ-specific advantages were nice......But it's the same game Microprose published way back when.  Try something new, Sid.",3.0,B00005JC8D,Good game.  Nothing unexpected.,Video Games
"Gary McCray - Liked this game more than I thought I would.
It provides a decidedly different experience than other Far Cry games but in many ways it works the same and the events are realistic and fit in the context provided.
Lots of quests and goals, but the sandbox design ultimately lets you decide what you want to do and in this world that can lead to some interesting experiences.
Being a ""cave man"" can be fun.",5.0,B00ZIW1MHK,Gary McCray - Liked this game more than I thought I would.,Video Games
You can play tennis with no racket but you HAVE to have a wheel to have fun playing Mariocart. And they're cheap. Why not?,5.0,B0013B30SY,Got to have the wheel,Video Games
"How many DDR games can they make? DDRX brings a new, urban video-based look to the DDR game, but in the end it really comes down to if you enjoy the songs and dancing to them.

I have five DDR games and I have an area of my basement set up with the PS2, the pile of games and the dance pad. I don't tend to play ""one game"" (in terms of DDR). If I head downstairs to dance, I play a few songs on one game, swap games, play a few songs on the next one and so on. I get a lot of chances to compare them all against each other, the benefits and downsides of each one.

DDR X is certainly shinier than the other games. They are pushing the PS2 to its limits with the graphics here. Really, though, who is watching the graphics when they are dancing? Yes, I love having the treadmill-dancing video running for OK Go (and missed half the steps the first time I danced it because I was having so much fun watching the video). Which sort of proves my point - if you are watching or paying attention to anything other than the arrows, you'll be in trouble :)

Since the arrows really don't change from game to game, all that really matters is the song list. This is a VERY subjective judgment. We all have quite different musical tastes. For example, in DDR X there are four songs I really like - and I'm not really fond of the others. I'm sure other players will have a completely separate list of songs in this game they adore. That's why it's nice to have so many options in the game, so that you can pick out the ones you like and ignore the ones you don't like.

I'm really glad they continue to come out with games for the PS2 to continue out the DDR game line. I like the steps and songs in my various DDR games and am always glad to be able to add more games into my workout mix. I'm sure at some point with the PS3 they'll come out with a DDR that lets you download songs and old step sets from the old DDR games, and at that point I might convert up to the PS3. In the meantime, though, this is a great option. I definitely recommend anyone who wants to get a good balance and cardio workout to look into DDR, look at the song set list for each one and choose a few that you enjoy. DDR isn't about just having one and playing only it all the time. It's about having a few, with songs you like, and enjoying the songs.

DDRX is definitely a great addition to the library. Well recommended.",5.0,B0019SMCDU,Fun New Songs for a Great Game,Video Games
My daughter loves some Katamari! Loaded with features beyond the original...,5.0,B0028A6UUY,Five Stars,Video Games
"Final fight 2 is a nice side scrolling beat em up just like the original. This one you go to different countries, And you still can choose haggar. The moves are pretty sweet to. I love the weapons, knives all that cool stuff. I can play this game forever it is so addicting.",5.0,B000035Y0B,cool follow up,Video Games
"So I mark Warcraft III as the point where the franchise stopped being WARcraft, and became MAGEcraft, or Magiccraft, or some stupid snippy pun regarding a favor towards magic rather than war.

And don't worry, this negative review isn't all just about the visceral hatred of high fantasy involving lots of magic.  The game itself has plenty of bad flaws.

I used to love Warcraft. But I hate Warcraft since they made it ""Blizzard presents: Magic: The Gathering"".

My favorite thing about Warcraft was exactly what they took out in III and World of: a sense of grittiness and uniqueness in a world of fantasy. There were no ""Thyalawynd"" or ""Darkheart""s or ""Ebonheart""s or ""Gyilwind""s magic fantasy crap with gravity-defying robes and swords made of silver and no shields or any semblence of tactics or strategy or even blood.

There was no ""We ah the Knoights of Lothar the Guilywind, son of Gunther the Loinhearted, son of Baxter the Baxton, son of Aragorn of Aragorn, and we foight fo peeeeeace"" versus ""Graarrgh we are demon spawns from hell who want to crush the world and kill everything that moves"".

Warcraft wasn't like that at all---Warcraft had the Orcs coming into Azeroth because their own world was destroyed by civil war, and rather than accomodate, the Humans responded with war. And it blew up in their faces as the Orcs destroyed Stormwind Keep and forced the humans into Lothleroin, with the Orcs following. I don't remember what happened after that, but I think eventually the Orcs were beaten back by the Alliance of Humans and Elves.

Then I completely do not remember a single thing about Warcraft III other than Taurens supporting the Orcs for absolutely no reason, and the Undead randomly appearing out of nowhere for no reason, and Night Elves appearing out of nowhere for no reason, and lots of pixie dust sprinkle winds magic and demons and wizards and keys and powerups and upgrades and magical fire pansy moves of doom for make benefit glorious magician of kingdom of Godwynn EverNeverwind P. Dark-Ebonheart.

Warcraft and Warcraft II were to me, the modern Medieval-fantasy equivalent of Conan the Barbarian, in that yes, magic was there, and magic was used, but only the magicians practiced magic, and the magicians could not stand up to an army of a billion Orc Grunts and Troll Axethrowers.  Sure, then there came Ogre-Mages, Death Knights, Paladins, and the like, but even those were but a small asset in an army made to fight with steel and wood and flesh, not just magic.

Instead in Warcraft III, and extending into World of Warcraft, magic becomes the centerpoint of virtually any army.  You can still use the backbone of infantry and cavalry and the like, but their effectiveness against magical heroes and magical elves and pixies is reduced by the sudden jump in population everything costs and the stupid upkeep.

But while magic would become the more central point beyond Warcraft III, War3's focus instead came upon HEROES!

The entire RTS aspect of this game is not fully broken, but rather fractured by not just the inclusion, but the heavy reliance upon individual heroes, who have dozens of hero-only chests to pick up for upgrades and equipment that can make them MORE powerful, and they have the ability to LEVEL UP and research MORE abilities and powers.

At least half the missions in the campaign I was apart of either involved playing ONLY as heroes, or playing in such a mission that only heroes could determine the outcome of battles.

Then, UPKEEP.

The idea of upkeep in this game is in no way relevant to how upkeep really works in games like Total War or in real life.  Upkeep is the cost of maintaining an army.  Upkeep does not exist in traditional RTS games.

In this game, upkeep means ""you no longer mine as many resources"" when you have too many units.  And ""too many"" ranges from 50-75 population points taken up.

And then comes the fact that full-army battles are rendered impossible when the average Orc Grunt starts costing THREE population points, and the maximum population is no longer the Blizzard standard of 200, but somewhere near 125-175 or so.

Controlling the first level of upkeep means your peasants now gather 7 of a resource rather than ten.  Medium upkeep reduces it to 5.  High upkeep reduces it to 3.  And an army under high upkeep can consist of a handful of heavy units not fit to take out a militia force twice their size.

This is only balanced by the fact that it affects all player on a map.  But another problem involving this is that because the basic units take up so much population and are so ineffective, the player is basically forced into an arm's race with their opponents, to build up their base technologies, upgrade all they can, then build the most powerful units available while ignoring the 90% of other units available to train, just to meet an evenly matched opponent who has done the same thing.

And then again, the RTS idea is fractured and shattered by the powerful emphasis on building superunits and superweapons as quickly as possible, and to hell with all other available units.

This is not how a good RTS works.  Starcraft comes to mind: an army of 30 basic Terran Marines can slaughter an enemy army of Hydralisks or Ultralisks.  An army of 30 Battlecruisers seems unstoppable, and yet can easily be torn asunder by a few Corsairs or Valkyries, or a flood of Scourges.  Or they can be broken up from all-out attack from an Arbiter's stasis, or a Ghost's lockdown.  They can suffer huge splash damage from Psionic Storms from High Templar or Infested Kerrigan.

In short, in Starcraft, every unit is effective if utilized properly.  You can win one game by playing a megalomaniac and massing dozens of super units, and win another game in the same amount of time with a ragtag militia and some special tricks of infiltration and the like.

Warcraft III has none of it.  Every unit that is not a superunit or a hero is simply cannon fodder and/or base defense until that superunit or hero is available for building.

And so what was once ""WARcraft"" and I so deridingly called ""Magecraft"" could more accurately be called ""Herocraft"", because heroes are so ridiculously overpowered that they become the center point of every game, EVEN the skirmishes, as you cannot start unless you pick a hero for your side.  AND you can get MORE THAN ONE hero on a map, one for heavy combat, one for support, and one for magic.",1.0,B00005V9Q1,Where it stopped being Warcraft,Video Games
Perfect,5.0,B000TZI2FQ,Five Stars,Video Games
"I just got done with this game at 1:01 a.m on Feb. 13 I honestly have to say there was great potential for this game as an A L I E N fan I am extreamly dissapointed with GearBox, it felt as if they just sat around and didn't give a rats ass about us A L I E N fans and just wanted our money then laugh at us like this whole thing was a big sick joke, there was only two extremly suspensful scenes where your running away from a new breed of Xenomorph called Raven sealing off doors trying to figure out what way to go then you start to panic then go into the air vents then after a short while there was another scene where you are walking through the sewers lights are flashing and the only thing you see is a deformed alien walking towards you when you make a sound also this game has a couple of places that is most recongnizable from the ALIENS movie like the scene where newt and riply fought off the facehugger to the most famous scene off of the alien franchis the space jockey. This game  has the worst looking graphics known to date the lighting looks bland and the textures are very dull aswell as the humans they didn't even look realistic even the animation was really bad now the voice acting was good so as the Alien enviroments to the aliens themselve's but the animation was just disgusting. Six years Gearbox spent on this game and this is what ever happen to the sick demo that they showed at E3 were everything look straight up creepy enviroments to the most awesome fighting scenes with face to face with the xenomorphs and aswell very entertaining cinematics which they also fail to accomplished if you compared the demo to the actual game you will be mad as hell  I DEMAND A REMAKE OF THIS GAME oOR A IMPROVE ADD ON TO THIS GAME!!!!!!!!!!. If I were you keep your money and spend it on games that are worth the $60 like Bioshock Infinite, Crysis 3, Tomb Raider, and Grand Theft Auto",1.0,B005THAX5Q,six years of working on such amazing game just went down to the drain.,Video Games
"Gameplay was fun but the live cut scenes were very long and drawn out. I'd find myself zoning out and then not even know what the heck was going on. If I wanted to watch a TV show I would've just logged into Netflix. This is not a revolutionary game experience, it's just a game with a boring TV show hidden inside.",2.0,B00CMQTTZ2,Gameplay was fun but the live cut scenes were very long and ...,Video Games
"THIS GAME IS ALL THAT AND A BAG OF CHIPS! IT COMBINES ACTION, FIGHTING AND ADVENTURE. WITH TONS OF FIGHTERS TO CHOOSE FROM INCLUDING: (MARIO, LINK, SAMUS, DK, YOSHI, NESS, BOWSER, PEACH, AND MORE. THE REPLAY VALUE IS EVIDENT. EVEN IF YOU GIVE THIS GAME A BREAK, YOU'LL COME BACK TO IT EVENTUALITY. ""SUPER SMASH BROS. MELEE"" IS A GAMERS DREAM. I'M LOOKING FOWARD TO: SUPER MARIO SUNSHINE, THE LEGEND OF ZELDA, METRIOD PRIME, WARIO WORLD, AND STARFOX ADVENTURES, ONLY FOR THE CUBE.",5.0,B00005Q8M0,I LOVE THIS GAME,Video Games
good game,5.0,B001PB9J14,Five Stars,Video Games
Bought it a long time ago and is still around in great shape.,5.0,B004UJJBJ8,long lasting,Video Games
It's a real N64 controller that works. Have not had issues with sticky buttons. All that you loved and hated about the N64 controller will be found with this product. Currently using this on a N64 emulator and it works like a charm. No issues so far and hopefully never will.,5.0,B00002STFZ,It's a N64 Controller,Video Games
Everything is great Thanks,5.0,B001D8PFIK,Five Stars,Video Games
I have a PSP 2000 and my brother in law can't put it down when playing this game. This is one of the reasons why the PSP makes sense to alot of gamers.,5.0,B000GPVUMG,Great game,Video Games
HEY WAS UP ITS CHARLIE V1 SORRY I NOT WRITING REVEIWS NO MORE MY NET SUCKS IT GOES SO SLOW WELL ANYWAYS THIS GAME LOOKS AWESOME WAY BETETR THEN PART 2 KINDA LIKE MAX PAIN PART 1 WAS LIKE A TOTALY DIFFERENT GAME THEN PART 2 I HOPE ON GETTING THIS GAME THE GRAPHICS LOOK OUTSTANDING AND I HEAR GOOD THINGS GET THIS GAME TODAY! XBOX,5.0,B0001AVSH8,THIS GAME LOOKS SWEET IM TALKING AWESOME!!,Video Games
"My kids love this game when we play it toghether, the four of us! It is challenging and has lots of games.",5.0,B000QD7BBM,great to play in group!,Video Games
A fun game,5.0,B006D3JT1E,Good Game,Video Games
ok,5.0,B001HWB68K,Five Stars,Video Games
"Actually, it was many fun-filled afternoons. This was my first exposure to Agatha Christie on PC and I enjoyed it tremendously. The graphics on the Orient Express are great! I love the interaction. The changing scenes were good. It's important to have a strategy guide or walkthrough to assist you over the ""rough spots."" If you get stuck ... a good walkthrough can save you hours of grief. I can't wait to try her next installment!!!",5.0,B000GCGQ6Y,A fun-filled Afternoon!,Video Games
"Let me first say that this game sucks. First, the loading in this game is rediculous. It takes 20 hours to load everything! The story mode is kind of numb, and i really hate the fact that you can't buy superstar points in the shop. if you're like me, you like to create a lot of characters, and, if you're like me, you like to copy your best superstar, then edit the copied one so you can have a new superstar with a good rating. Basically, you can't change their weight class when creating a new character off a copied one, to reset the attributes, so you can change them up. The create mode is really lame. The clothing sucks so bad in this game. My best friend's name is David and they don't even have that as a superstar calling name when you enter the ring like they did in the last one. Last time I checked, David is a pretty popular first name. Hell, it's Batista's first name.

Like all wrestling games, it does have a degree of fun- a very SMALL degree of fun. but this game is really really lame, and I find it hard to believe that people are saying it's ""a turning point in smackdown history."" how the hell do you figure? seriously. did you ever play the other games? you can't sit there and say it's the best of the smackdown games, because if you do, you must have never played another smackdown game. If you create a character, and, for example, you make them from Las Vegas Nevada, the announcer will say ""On the way to the ring, from Las Vegas Nevada, from Nevada..."" Why the hell are they saying the state twice? Make anyone from a city and state and when they are introduced, the announcer says the state twice.

There are so many damn glitches in this game, it's unbelievable. You have to be a damn cruiserweight to be a luchadore or martial arts?! That's pretty lame. Anyone remember Nathan Jones or Steve Blackman??? Both martial artists and Blackman was a heavyweight and Jones was a super heavyweight.

Story mode sucks. All I am gonna say. Music in the game is better, except for that one damn Money in the Bank song, which is probably THE worst song ever recorded.

Also, where the hell is Paul London? Sure, we have 4 friggon Mick Foley's, but no Paul Lundon or, as gay as they are, the Spirit Squad. They really screwed this game up in every way possible. They really rushed this game. All the little 10 year olds who like this game have no clue about any other WWE game, I can assure you, because this game sucks big time. There are barely any grapple moves!! WTF???? How can anyone sit there, after plaing the other WWE games, and say it is a good game? This game is utter crap! I brought it back within 5 days of getting it.

The heights in this game are all off. i put a wrestler at 5'7"" and he was as tall as Angle... Angle is 6'2""! I have played every wwe game, and have been a fan of the wwe (wwf) since the early 80's. This game sucks plain and simple. They rushed it. Just like Mortal Kombat Armageddon.

if you feel like wasting 50 bucks, then get it- otherwise stick with 2006 or just wait until this one is cheaper- which shouldn't be too much longer, because the game sucks.",1.0,B000FW8FK0,This Game Sucks,Video Games
"As a father of two young impressionable boys, my job as a parent includes finding material suitable for developing minds. With the world moving towards sex, violence, and sexualized violence it is nice to find a game that I can let my kids play without seeing zombies, explicit material, or inappropriate content. Disney has provided an open world experience that my kids can play with however they choose. Each ""world"" consists of a main game experience that could easily be knocked out on a Saturday. The genius of this game is the ""Toy Box"" game mode. You can download user made games and areas that are crafted by Disney as well as gamers. My kids had a blast chasing each other on elephants as well as driving cars around the game world. The initial three worlds will keep your kids occupied while you decide which ""extras"" you decide is more towards their interests. Great game, and more importantly, great replay value. With the add-ons I think that this game will be relevant, and popular with my boys, for quite some time.",5.0,B00AXI9XIE,great game for my boys (not a price review),Video Games
I just bought this as an upgrade from my old original 3DS (I also have a red/black 3dsxl) so I could give my old original 3ds to my nephew for his bday which had just passed I went to transfer my data from my old one to the new one only to find out that there was no micro SD card I was mildly annoyed (still kind of am mildly annoyed lol) I'm just lucky that a micro as card is dirt cheap,5.0,B00S1LRUVW,Awesomely bad a$$ system,Video Games
"I got this Xbox one bundle from GameStop two years ago, and I am still amazed by it.  Initially I purchased a couple games, but since I started downloading all the ""free"" Games With Gold (Gold Membership is anywhere from $35-$50), and discovered EA Access ($50 per year), I have more games than I will be able to play before this console is retired in a few years.
I really like the Kinect features for menu navigation and voice commands, but don't really use it in any games.
Due to the available entertainment and streaming apps through Xbox Live, and borrowed accounts from family, I have cut the cord with cable and never looked back.  I would never have done this without the ease of the Xbox.  That has saved me about $200 per month, so you could make the case that it has paid for itself.

The only major complaint I have about this bundle is the quality of the headset it comes with. Xbox would have blown PS4 Away if they would have packaged a quality headset with this bundle, but overall it's been well worth the expense.",5.0,B00NFXOQW2,Thank you Microsoft,Video Games
